"Probabilidad de uso de computadora","","","","",""
"Estado","Aguascalientes","","","",""
"Ciudad","Aguascalientes","","","",""
"Sexo","Mujer","","","",""
"Edad","6-12 años","","","",""
"Educacion","Ninguna","","","",""
"Ocupación","Estudia","","","",""
"Ingreso mensual en el hogar","Menos de $12,063.00","","","",""
"Probabilidad de uso","57.73%","","","",""
"","","","","",""
"Distribución de la población de 6 años o más en Aguascalientes","","","","",""
"Poblacion por interés","","Ingreso mensual en el hogar","","Nivel educativo",""
"Nivel geográfico","Estatal","Menos de $12,063.00","26%","Ninguno","2%"
"Sexo","Ambos","Entre $12,063,00 y $23,140.00","40%","Básico","63%"
"Hombres","48%","Más de $23,140.00","34%","Media superior","18%"
"Mujeres","52%","","","Superior","16%"
"","","","","",""
"Ocupación","","Edad","","",""
"Hogar","19%","6-12 años","15%","",""
"Estudia","16%","13-17 años","11%","",""
"Trabaja","55%","18-24 años","16%","",""
"No trabaja","10%","25-34 años","17%","",""
"","","35-44 años","15%","",""
"","","45-54 años","12%","",""
"","","55-64 años","8%","",""
"","","65 años o más","7%","",""
"","","","","",""
"Datos Demográficos","","","","",""
"","Habitantes","Hogares","","",""
"Aguascalientes","1,311,088","345,320","","",""
"Nacional","122,745,052","33,153,231","","",""
"","","","","",""
"Penetraciones y teledensidades","","","","",""
"","Penetración equipos de cómputo","Penetración de banda ancha fija","Penetración de telefonía fija","Teledensidad de banda ancha móvil","Teledensidad de telefonía móvil"
"Aguascalientes","54","39","45","74","105"
"Nacional","46","42","44","61","91"
